Location,Reach Number,Above,Washer #,Color,Species,Length(TL_,Length Yes no ,Length (mm),Depth,Velo,Substrate,PercentCover,InstreamCover,Densio,MacroHab,Undercut,%LWD,%Aquatic Veg,%None,Latitude,Longitude,Desert Sucker,Desert Sucker Abund,RoundtailChub,RoundtailChub Abund,Sonora Sucker,Sonora Sucker Abund,SpeckedDace,SpeckledDaceAbund,Bass,Bass Abund
8,1,1,o143,orange,Roundtail,3,yes,76.2,0.5,0.27,5,1,0,24,run,N,0,0,100,N 34.22.755,W 111.39.519,,,1,5,,,,,,
8,1,1,o124,orange,Roundtail,3,yes,76.2,0.8,0.32,5,1,0,24,riffle,N,0,0,100,N 34.22.787,W 111.39.526,,,1,4,,,,,,
8,1,1,o121,orange,Roundtail,4,yes,101.6,0.42,0.04,5,1,0,24,riffle,N,0,0,100,N 34.22.773,W 111.39.523,,,1,3,,,,,,
8,1,1,o133,orange,Roundtail,5,yes,127,0.68,0.52,5,0.958333333,0,23,run,N,0,0,100,N 34.22.791,W 111.39.525,,,1,3,,,,,,
8,1,1,o141,orange,Roundtail,5,yes,127,0.74,0.45,3,1,0,24,run,N,0,0,100,N 34.22.784,W 111.39.528,,,1,3,,,,,,
8,1,1,o173,orange,Roundtail,5,yes,127,0.92,0.45,4,0.416666667,0,10,riffle,N,0,0,100,N 34.22.789,W 111.39.527,,,1,3,,,,,,
8,1,1,o189,orange,Roundtail,3,yes,76.2,0.68,0.49,5,0.916666667,0,22,riffle,N,0,0,100,N 34.22.791,W 111.39.527,,,1,3,,,,,,
8,1,1,o198,orange,Roundtail,3,yes,76.2,1.04,0.16,1,0.708333333,0,17,run,N,0,0,100,N 34.22.770,W 111.39.524,,,1,3,,,,,,
8,1,1,o32,orange,Roundtail,4,yes,101.6,0.97,0.3,3,1,0,24,run,N,0,0,100,N 34.22.787,W 111.39.530,,,1,3,,,,,,
8,1,1,o112,orange,Roundtail,6,yes,152.4,0.82,0.3,4,1,0,24,run,N,0,0,100,N 34.22.753,W 111.39.518,,,1,2,,,,,,
8,1,1,o113,orange,Roundtail,4,yes,101.6,0.74,0.26,1,1,50,24,run,Y,40,10,50,N 34.22.755,W 111.39.517,,,1,2,,,,,,
8,1,1,o128,orange,Roundtail,3,yes,76.2,0.6,0.35,1,1,0,24,run,N,0,0,100,N 34.22.769,W 111.39.521,,,1,2,,,,,,
8,1,1,o131,orange,Roundtail,4,yes,101.6,0.75,0.08,5,1,70,24,run,Y,50,20,30,N 34.22.754,W 111.39.516,,,1,2,,,,,,
8,1,1,o15,orange,Roundtail,4,yes,101.6,0.68,0.01,5,0.958333333,0,23,riffle,N,0,0,100,N 34.22.777,W 111.39.524,,,1,2,,,,,,
8,1,1,o179,orange,Roundtail,7,yes,177.8,0.9,0.17,5,0.958333333,0,23,riffle,N,0,0,100,N 34.22.772,W 111.39.522,,,1,2,,,,,,
8,1,1,o207,orange,Roundtail,4,yes,101.6,0.5,0.2,1,1,0,24,run,N,0,0,100,N 34.22.754,W 111.39.518,,,1,2,,,,,,
8,1,1,o102,orange,Roundtail,3,yes,76.2,0.5,0.13,1,0.958333333,0,23,run,N,0,0,100,N 34.22.754,W 111.39.512,,,1,1,,,,,,
